Occupation,Number of workers,Median weekly earnings,Number of male workers,Male median weekly earnings,Number of female workers,Female median weekly earnings
Producers and directors,109,"1,483",59,"1,652",50,"1,156"
"Athletes, coaches, umpires, and related workers",157,"1,051",122,"1,134",35,N/A
Dancers and choreographers,13,N/A,3,N/A,10,N/A
"Musicians, singers, and related workers",36,N/A,26,N/A,10,N/A
"Entertainers and performers, sports and related workers, all other",15,N/A,12,N/A,4,N/A
Announcers,20,N/A,12,N/A,9,N/A
"News analysts, reporters and correspondents",77,"1,301",40,N/A,37,N/A
Public relations specialists,119,"1,410",41,N/A,78,"1,255"
Editors,98,"1,163",32,N/A,66,"1,135"
Technical writers,54,"1,434",26,N/A,28,N/A
Writers and authors,88,"1,159",41,N/A,48,N/A
Miscellaneous media and communication workers,56,794,22,N/A,34,N/A
Broadcast and sound engineering technicians and radio operators,90,"1,158",79,"1,189",11,N/A
Photographers,45,N/A,29,N/A,16,N/A
"Television, video, and motion picture camera operators and editors",27,N/A,20,N/A,7,N/A
"Media and communication equipment workers, all other",0,N/A,0,N/A,0,N/A
Healthcare practitioners and technical occupations,"7,514","1,180","1,887","1,422","5,627","1,130"
Chiropractors,19,N/A,12,N/A,6,N/A
Dentists,71,"2,302",43,N/A,28,N/A
Dietitians and nutritionists,94,"1,019",10,N/A,85,948
Optometrists,27,N/A,12,N/A,15,N/A
Pharmacists,255,"2,013",100,"2,245",155,"1,877"
Physicians and surgeons,857,"2,292",507,"2,500",349,"1,878"
Physician assistants,109,"1,831",31,N/A,77,"1,763"
Podiatrists,4,N/A,3,N/A,1,N/A
Audiologists,11,N/A,2,N/A,10,N/A
Occupational therapists,92,"1,447",13,N/A,79,"1,441"
Physical therapists,211,"1,431",81,"1,610",130,"1,323"
Radiation therapists,9,N/A,4,N/A,5,N/A
Recreational therapists,9,N/A,1,N/A,8,N/A
Respiratory therapists,93,"1,213",34,N/A,59,"1,073"
Speech-language pathologists,131,"1,193",7,N/A,124,"1,171"
Exercise physiologists,2,N/A,0,N/A,2,N/A
"Therapists, all other",162,935,31,N/A,131,919
Veterinarians,72,"1,773",17,N/A,55,"1,985"
Registered nurses,"2,640","1,223",320,"1,256","2,321","1,217"
Nurse anesthetists,22,N/A,10,N/A,12,N/A
Nurse midwives,6,N/A,0,N/A,6,N/A
Nurse practitioners,187,"1,760",23,N/A,163,"1,753"
"Health diagnosing and treating practitioners, all other",12,N/A,5,N/A,7,N/A
Clinical laboratory technologists and technicians,281,979,66,"1,117",215,952
Dental hygienists,104,"1,094",5,N/A,99,"1,066"
Diagnostic related technologists and technicians,320,"1,126",107,"1,166",213,"1,076"
Emergency medical technicians and paramedics,179,912,125,991,54,786
Health practitioner support technologists and technicians,570,735,126,843,444,712
Licensed practical and licensed vocational nurses,533,806,53,896,481,799
Medical records and health information technicians,152,829,15,N/A,138,799
"Opticians, dispensing",34,N/A,9,N/A,26,N/A
Miscellaneous health technologists and technicians,130,880,46,N/A,84,799
Other healthcare practitioners and technical occupations,117,"1,252",69,"1,261",48,N/A
Service occupations,"16,558",592,"7,898",659,"8,660",537
Healthcare support occupations,"2,700",591,363,639,"2,337",585
"Nursing, psychiatric, and home health aides","1,471",562,184,588,"1,287",556
Occupational therapy assistants and aides,23,N/A,4,N/A,19,N/A
Physical therapist assistants and aides,72,955,29,N/A,43,N/A
Massage therapists,57,582,15,N/A,42,N/A
Dental assistants,199,615,6,N/A,193,613
Medical assistants,521,635,40,N/A,481,635
Medical transcriptionists,28,N/A,5,N/A,23,N/A
Pharmacy aides,41,N/A,14,N/A,27,N/A
Veterinary assistants and laboratory animal caretakers,39,N/A,7,N/A,31,N/A
Phlebotomists,98,623,9,N/A,88,612
"Miscellaneous healthcare support occupations, including medical equipment preparers",151,617,47,N/A,103,571
Protective service occupations,"2,725",900,"2,172",953,553,731
First-line supervisors of correctional officers,41,N/A,29,N/A,12,N/A
First-line supervisors of police and detectives,80,"1,438",71,"1,449",9,N/A
First-line supervisors of fire fighting and prevention workers,40,N/A,36,N/A,4,N/A
"First-line supervisors of protective service workers, all other",66,659,50,698,17,N/A
Firefighters,292,"1,207",287,"1,203",6,N/A
Fire inspectors,16,N/A,15,N/A,2,N/A
"Bailiffs, correctional officers, and jailers",365,776,251,890,114,664
Detectives and criminal investigators,151,"1,428",119,"1,472",32,N/A
Fish and game wardens,2,N/A,1,N/A,1,N/A
Parking enforcement workers,2,N/A,2,N/A,1,N/A
Police and sheriff's patrol officers,686,"1,111",559,"1,143",127,922
Transit and railroad police,4,N/A,4,N/A,0,N/A
Animal control workers,7,N/A,6,N/A,1,N/A
Private detectives and investigators,78,973,38,N/A,41,N/A
Security guards and gaming surveillance officers,790,650,631,671,159,589
Crossing guards,21,N/A,15,N/A,6,N/A
Transportation security screeners,41,N/A,32,N/A,9,N/A
"Lifeguards and other recreational, and all other protective service workers",41,N/A,28,N/A,13,N/A
Food preparation and serving related occupations,"4,689",522,"2,352",576,"2,337",492
Chefs and head cooks,406,698,334,727,72,553
First-line supervisors of food preparation and serving workers,426,584,184,657,242,545
Cooks,"1,362",512,831,535,531,489
Food preparation workers,574,496,246,532,328,463
Bartenders,293,610,159,655,134,578
"Combined food preparation and serving workers, including fast food",191,462,65,457,126,467
"Counter attendants, cafeteria, food concession, and coffee shop",48,N/A,26,N/A,22,N/A
Waiters and waitresses,973,511,292,594,681,491
"Food servers, nonrestaurant",89,515,29,N/A,60,501
Dining room and cafeteria attendants and bartender helpers,116,554,66,605,50,513
Dishwashers,126,453,102,464,24,N/A
"Hosts and hostesses, restaurant, lounge, and coffee shop",81,456,17,N/A,64,441
"Food preparation and serving related workers, all other",4,N/A,2,N/A,2,N/A
Building and grounds cleaning and maintenance occupations,"3,679",580,"2,293",618,"1,386",502
First-line supervisors of housekeeping and janitorial workers,215,710,134,758,80,639
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",121,797,110,800,11,N/A
Janitors and building cleaners,"1,563",582,"1,068",610,494,510
Maids and housekeeping cleaners,895,490,126,520,769,484
Pest control workers,73,731,71,741,2,N/A
Grounds maintenance workers,813,606,784,607,29,N/A
Personal care and service occupations,"2,764",565,718,624,"2,047",531
First-line supervisors of gaming workers,117,821,63,853,54,791
First-line supervisors of personal service workers,75,778,32,N/A,43,N/A
Animal trainers,25,N/A,17,N/A,9,N/A
Nonfarm animal caretakers,105,515,25,N/A,79,489
Gaming services workers,60,635,32,N/A,28,N/A
Motion picture projectionists,0,N/A,0,N/A,0,N/A
"Ushers, lobby attendants, and ticket takers",10,N/A,4,N/A,6,N/A
Miscellaneous entertainment attendants and related workers,77,583,54,557,24,N/A
Embalmers and funeral attendants,6,N/A,4,N/A,2,N/A
"Morticians, undertakers, and funeral directors",20,N/A,12,N/A,8,N/A
Barbers,62,662,50,789,12,N/A
"Hairdressers, hairstylists, and cosmetologists",310,570,24,N/A,286,569
Miscellaneous personal appearance workers,227,571,33,N/A,193,554
"Baggage porters, bellhops, and concierges",69,663,54,672,15,N/A
Tour and travel guides,28,N/A,17,N/A,11,N/A
Childcare workers,473,495,40,N/A,433,491
Personal care aides,815,516,130,581,685,509
Recreation and fitness workers,191,607,88,656,102,580
Residential advisors,21,N/A,8,N/A,13,N/A
"Personal care and service workers, all other",74,611,30,N/A,44,N/A
Sales and office occupations,"23,883",758,"9,695",874,"14,188",713
Sales and related occupations,"9,929",830,"5,525",982,"4,404",677
First-line supervisors of retail sales workers,"2,316",817,"1,246",955,"1,070",708
First-line supervisors of non-retail sales workers,857,"1,162",596,"1,157",261,"1,173"
Cashiers,"1,398",503,438,510,959,499
Counter and rental clerks,67,686,44,N/A,23,N/A
Parts salespersons,122,777,107,768,15,N/A
Retail salespersons,"1,856",692,"1,094",806,762,578
Advertising sales agents,169,"1,050",88,"1,143",81,874
Insurance sales agents,461,927,214,"1,034",247,806
"Securities, commodities, and financial services sales agents",192,"1,302",129,"1,386",63,"1,063"
Travel agents,52,745,8,N/A,44,N/A
"Sales representatives, services, all other",477,"1,211",340,"1,332",137,973
"Sales representatives, wholesale and manufacturing","1,107","1,206",813,"1,262",294,"1,067"
"Models, demonstrators, and product promoters",15,N/A,3,N/A,12,N/A
Real estate brokers and sales agents,543,"1,019",222,"1,344",321,883
Sales engineers,32,N/A,29,N/A,3,N/A
Telemarketers,42,N/A,18,N/A,24,N/A
"Door-to-door sales workers, news and street vendors, and related workers",31,N/A,14,N/A,16,N/A
"Sales and related workers, all other",194,935,123,966,71,848
Office and administrative support occupations,"13,954",732,"4,170",771,"9,784",721
First-line supervisors of office and administrative support workers,"1,215",866,406,971,809,816
"Switchboard operators, including answering service",20,N/A,5,N/A,16,N/A
Telephone operators,34,N/A,6,N/A,28,N/A
"Communications equipment operators, all other",8,N/A,4,N/A,4,N/A
Bill and account collectors,113,701,22,N/A,91,672
Billing and posting clerks,389,742,45,N/A,344,736
"Bookkeeping, accounting, and auditing clerks",657,764,84,784,573,764
Gaming cage workers,10,N/A,2,N/A,8,N/A
Payroll and timekeeping clerks,127,766,17,N/A,110,756
Procurement clerks,29,N/A,9,N/A,21,N/A
Tellers,241,575,35,N/A,207,571
"Financial clerks, all other",119,890,48,N/A,71,797
Brokerage clerks,3,N/A,1,N/A,1,N/A
Correspondence clerks,6,N/A,2,N/A,4,N/A
"Court, municipal, and license clerks",83,748,17,N/A,66,759
"Credit authorizers, checkers, and clerks",39,N/A,10,N/A,30,N/A
Customer service representatives,"1,977",693,717,736,"1,259",673
"Eligibility interviewers, government programs",68,763,16,N/A,52,756
File clerks,137,672,27,N/A,110,667
"Hotel, motel, and resort desk clerks",90,519,24,N/A,65,490
"Interviewers, except eligibility and loan",93,740,10,N/A,82,734
"Library assistants, clerical",34,N/A,5,N/A,29,N/A
Loan interviewers and clerks,118,825,30,N/A,88,802
New accounts clerks,25,N/A,8,N/A,17,N/A
Order clerks,72,783,40,N/A,32,N/A
"Human resources assistants, except payroll and timekeeping",51,702,10,N/A,41,N/A
Receptionists and information clerks,909,642,100,735,809,636
Reservation and transportation ticket agents and travel clerks,103,813,46,N/A,56,789
"Information and record clerks, all other",88,735,24,N/A,64,691
